Dia;Sessoes_Total;Sessoes_Midia;Sessoes_Pagas;Sessoes_Organicas;CPS_Midia;CPS_Geral;Orcamento_Total
2025-11-01;3496;2539;2539;957;2,203536825521859;1,6003375286041188;5594,78
2025-11-02;4119;2993;2993;1126;2,2254360173738723;1,6170745326535565;6660,73
2025-11-03;3960;2583;2583;1377;2,379647696476965;1,552179292929293;6146,63
2025-11-04;4169;2508;2508;1661;2,5035685805422645;1,5061045814343967;6278,95
2025-11-05;3824;2710;2710;1114;2,6422214022140222;1,872494769874477;7160,42
2025-11-06;4524;2517;2517;2007;2,6527373857767187;1,4758930150309462;6676,9400000000005
2025-11-07;4416;2575;2575;1841;2,8179378640776696;1,6431589673913043;7256,19
2025-11-08;3565;2528;2528;1037;3,284553006329114;2,3291304347826087;8303,35
2025-11-09;3991;3000;3000;991;3,027833333333333;2,2759959909797045;9083,5
2025-11-10;3877;2706;2706;1171;2,7467701404286773;1,917142120196028;7432,76
2025-11-11;4274;2565;2565;1709;3,204027290448343;1,922866167524567;8218,33
